File,CustomerCode,CustomerName,ProductName,ProductCode,Date,DocNo,Qty,UnitCode,UnitPrice,VAT,TotalAmount,NetSales,Ref
Aug.pdf,DC033,ทีวายเค ฟิลเตอร์ส จํากัด,V-BELT A 23 BC.,47B-A023,04/08/68,IV0027885-5,5.0,09,25.5,2,127.5,127.5,SD2507-224-5
Aug.pdf,DC033,ทีวายเค ฟิลเตอร์ส จํากัด,V-BELT A 26 BC.,47B-A026,04/08/68,IV0027885-6,3.0,09,25.5,2,76.5,76.5,SD2507-224-6
Aug.pdf,DC033,ทีวายเค ฟิลเตอร์ส จํากัด,V-BELT A 27 BC.,47B-A027,04/08/68,IV0027885-3,4.0,09,22.95,2,91.8,91.8,SD2507-224-3
Aug.pdf,DC033,ทีวายเค ฟิลเตอร์ส จํากัด,V-BELT A 28 BC.,47B-A028,04/08/68,IV0027885-2,4.0,09,23.8,2,95.2,95.2,SD2507-224-2
Aug.pdf,DC033,ทีวายเค ฟิลเตอร์ส จํากัด,V-BELT A 38 BC.,47B-A038,04/08/68,IV0027885-4,2.0,09,32.3,2,64.6,64.6,SD2507-224-4
Aug.pdf,DC033,ทีวายเค ฟิลเตอร์ส จํากัด,V-BELT B 129 BC.,47B-B129,04/08/68,IV0027885-1,5.0,09,137.06,2,685.3,685.3,SD2507-224-1
Aug.pdf,DC057,วีเหลี่ยม หว่อง กรุ๊ป จํากัด,V-BELT SPB 3150 LW MB.WHITE,79B-SPB3150LW,21/08/68,IV0027901-1,50.0,09,290.12,2,14506.0,14506.0,SD2508-169-1
Aug.pdf,DC057,วีเหลี่ยม หว่อง กรุ๊ป จํากัด,V-BELT SPB 3350 MB.WHITE,79B-SPB3350,21/08/68,IV0027901-2,20.0,09,308.2,2,6164.0,6164.0,SD2508-169-2
Aug.pdf,DC057,วีเหลี่ยม หว่อง กรุ๊ป จํากัด,V-BELT SPB 4060 MB.WHITE,79B-SPB4060,21/08/68,IV0027901-3,20.0,09,373.75,2,7475.0,7475.0,SD2508-169-3
Aug.pdf,DC074,อีเลคโทรลักซ์ ประเทศไทย,V-BELT M 24 MB.WHITE,143,05/08/68,IV0027886-1,1500.0,09,13.85,2,20775.0,20775.0,SD2508-030-1
Aug.pdf,DC074,อีเลคโทรลักซ์ ประเทศไทย,V-BELT M 24 MB.WHITE,143,22/08/68,IV0027904-1,500.0,09,13.85,2,6925.0,6925.0,SD2508-176-1
Aug.pdf,DC111,ชิน ซัง เดลต้า เทค (ประเทศไทย) จํากัด,V-BELT M 22 MB.WHITE,143,22/08/68,IV0027905-4,200.0,09,15.4,2,3080.0,3080.0,SD2508-009-6
Aug.pdf,DC111,ชิน ซัง เดลต้า เทค (ประเทศไทย) จํากัด,V-BELT M 20.5 MB.WHITE,143,26/08/68,IV0027912-7,200.0,09,14.35,2,2870.0,2870.0,SD2508-009-7
Aug.pdf,DC111,ชิน ซัง เดลต้า เทค (ประเทศไทย) จํากัด,V-BELT M 24.6 MB.WHITE,143,01/08/68,IV0027884-2,4400.0,09,11.5,2,50600.0,50600.0,SD2508-009-3***
Aug.pdf,DC111,ชิน ซัง เดลต้า เทค (ประเทศไทย) จํากัด,V-BELT M 24.6 MB.WHITE,143,05/08/68,IV0027887-3,1400.0,09,11.5,2,16100.0,16100.0,SD2508-009-3***
